PI Name,Dept/Division list,Title list,Year list
"Alsayyad, Nezar","['Graduate Division Dean', 'Graduate Division Dean']","['National Resource Centers and Foreign Language and Area Studies Fellowships Programs', 'National Resource Centers and Foreign Language and Area Studies Fellowships Programs']","[2010, 2010]"
"Cheah, Pheng",['Graduate Division'],['Foreign Language and Area Studies Fellowships'],[2014]
"Cohen, Lawrence","['Graduate Division Dean', 'Graduate Division']","['National Resource Center and Foreign Language and Area Studies Fellowship - Center for South Asia Studies', 'National Resource Center and Foreign Language and Area Studies Fellowships']","[2010, 2014]"
"Connelly, John","['Graduate Division', 'Graduate Division']","['National Resource Centers Program and Foreign Language and Area Studies Fellowships Program', 'National Resource Centers Program and Foreign Language and Area Studies Fellowships Program']","[2014, 2014]"
"Dewulf, Jeroen","['Graduate Division', 'Graduate Division']","['National Resource Centers Program and Foreign Language and Area Studies Fellowships Program', 'National Resource Centers Program and Foreign Language and Area Studies Fellowships Program']","[2014, 2014]"
"Doyle, Fiona M","['Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean']","['Fee Remission Graduate Student Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'NRT-IGE: Training Graduate Students as Research Mentors for Undergraduates', 'Integrating the How Students Learn Initiative into Programs for Graduate Student Instructors', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program', 'Integrating the How Students Learn Initiative into Programs for Graduate Student Instructors', 'Graduate Research Fellowship Program', 'Graduate Research Fellowship Program']","[2013, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2015, 2012, 2014, 2010, 2010, 2012, 2014, 2014]"
"Fernandez-Pello, A Carlos","['Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division Dean', 'Graduate Division', 'Graduate Division', 'Graduate Division', 'Graduate Division']","['California LSAMP Bridge to Doctorate (BD) Activity', 'Jacob Javits Fellowship', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'The Rose Hills Foundation Science & Engineering Scholarship Graduate School Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jacob Javits Fellowship', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jacob Javits Fellowship', 'Jacob Javits Fellowship', 'Jewish Community Endowment Newhouse Fund', 'Jewish Community Endowment Newhouse Fund Graduate Fellowships', 'Jewish Community Endowment Newhouse Fund Graduate Fellowships', 'Jewish Community Endowment Newhouse Fund', 'SanDisk Fellowship Program', 'Jewish Community Federation Fellowship for Students from Israeli Universities', 'Howard Hughes Medical Institute Predoctoral Fellowships in Biological Sciences Program', 'Jacob Javits Fellowship', '2010 UNCF Merck Graduate Science Research Dissertation', 'Jewish Community Federation Fellowship for Students from Israeli Universities', 'Albert and Janet Schultz Supporting Foundation of the Jewish Community Endowment Fund', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jacob Javits Fellowship', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Henry Luce Foundation/ACLS Dissertation Fellowship - Elizabeth Ferrell', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jacob Javits Fellowship', 'Jacob Javits Fellowship', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'The Logic of Violence in Criminal Wars: Cartel-State Conflict in Mexico, Colombia and Brazil', 'Policing China: Effective Policing Practices and Bureaucratic Fragmentation in the P.R.C.', 'States and Terrorist Groups that Collaborate: Strong Bonds, Sensitive Transfers and the Issue of Control', 'State-Building Under Fire: Foreign Interveners, Local Militias, and Changing Control over the Legitimate Use of Force', 'Creating the Police in High Stakes State-Building', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'Rural Sociological Society Dissertation Research Award - Sandra Brown', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Mellon/ACLS Dissertation Completion Fellowship - Albert Wu', 'Mellon/ACLS Dissertation Completion Fellowship - Andrea Gadberry', 'Mellon/ACLS Dilssertation Completion Fellowship', 'Mellon/ACLS Dissertation Completion Fellowship - Joshua Jelly-Schapiro', 'Mellon/ACLS Dissertation Completion Fellowship-Rebekah Ahrendt', 'Mellon/ACLS Dissertation Completion Fellowship', 'Mellon/ACLS Dissertation Completion Fellowship', 'Mellon/ACLS Dissertation Completion Fellowship - Noer Fauzi Rachman', 'Mellon/ACLS Dissertation Completion Fellowship - Caroline Emily Shaw', 'Mellon/ACLS Dissertation Completion Fellowship - Annie McClanahan', 'Mellon/ACLS Dissertation Completion Fellowship', 'Mellon/ACLS Dissertation Completion Fellowship', 'Mellon/ACLS Dissertation Completion Fellowship', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'Jacob Javits Fellowship', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jacob Javits Fellowship', 'Jewish Community Endowment Newhouse Fund Graduate Fellowships', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'Jewish Community Endowment Newhouse Fund', 'National Consortium for Graduate Education for Minorities in Engineering and Sciences, Inc (GEM)', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jewish Community Federation Fellowship for Students from Israeli Universities', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jacob Javits Fellowship', 'FY2010 Fulbright-Hays Doctoral Dissertation Research Abroad Fellowship Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program', 'Jacob Javits Fellowship', 'Fulbright-Hays Doctoral Dissertation Research Abroad Program']","[2012, 2008, 2010, 2007, 2008, 2007, 2007, 2009, 2007, 2007, 2007, 2011, 2010, 2009, 2012, 2007, 2007, 2007, 2010, 2007, 2007, 2010, 2008, 2010, 2007, 2007, 2009, 2007, 2010, 2007, 2009, 2008, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2008, 2007, 2007, 2007, 2012, 2012, 2011, 2011, 2010, 2007, 2007, 2009, 2007, 2008, 2012, 2011, 2011, 2010, 2010, 2010, 2010, 2010, 2009, 2009, 2007, 2007, 2007, 2007, 2010, 2008, 2009, 2007, 2010, 2010, 2010, 2009, 2007, 2008, 2007, 2007, 2007, 2008, 2010, 2009, 2007, 2008, 2008, 2008, 2009]"
"Gottreich, Emily","['Graduate Division', 'Graduate Division']","['National Resource Centers and Fellowships Program for Language and Area or Language and International Studies', 'National Resource Centers and Fellowships Program for Language and Area or Language and International Studies']","[2014, 2014]"
"Hadler, Jeffrey",['Graduate Division Dean'],['UCB - UCLA Consortium for the Southeast Asia Studies National Resource Center and Foreign Language and Areas Studies Fellowship Program'],[2010]
"Hinshaw, Stephen P","['Graduate Division', 'Graduate Division']","['REU Site: Social Cultural Processes in Development and Mental Health', 'REU Site: Social Cultural Processes in Development and Mental Health']","[2010, 2010]"
