PI Name,Dept/Division list,Title list,Year list
"Aaron, Holly L",['Cancer Research Laboratory'],['Advanced Imaging Workshop'],[2007]
"Agogino, Alice M",['Mechanical Engineering'],['Approximate Models for Closed-Loop Trajectory Tracking in Underactuated Systems'],[2015]
"Alter, Robert B","['Jewish Graduate Studies', 'Jewish Graduate Studies', 'Jewish Graduate Studies', 'Jewish Graduate Studies']","['Jewish Studies Course Support & Student Fellowship', 'Newhouse Graduate Fellowships and YIddish Instruction', 'Graduate Student Fellowships and Yiddish Language Instructions', 'Jewish Studies Course Support & Student Fellowship']","[2007, 2007, 2009, 2007]"
"Ames, Genevieve","['Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health']","['Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program']","[2009, 2009, 2009, 2009, 2009, 2009, 2009, 2009, 2009]"
"Ammon, Paul R","['Graduate Education', 'Graduate Education']","['The Arts Education Initiative at Berkeley: Changing the Culture of Education for New Teachers and School Leaders through the Arts', 'The Arts Education Initiative at Berkeley: Changing the Culture of Education for New Teachers and School Leaders through the Arts']","[2009, 2009]"
"Arnold, John","['Chemistry Department', 'Chemistry Department']","['IGERT: Systems Approach to Green Energy (SAGE)', 'Materials Chemistry in the Undergraduate Laboratory: Synthesis, Characterization and Properties']","[2012, 2008]"
"Asanovic, Krste","['EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences']","['GAANN ', 'GAANN ', 'GAANN ']","[2012, 2012, 2012]"
"Auffhammer, Maximilian",['Haas Centers and Institutes'],['Energy Institute at Haas Summer School'],[2015]
"Baker, Robin","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['California Worker Training Program (WOSHTEP)', 'California Worker Training program (WOSHTEP)', 'Using Best Practices to Disseminate Occupational Health Information to Hard to Reach Workers', 'California School Action Safety & Health (SASH) Program', 'The National Young Worker Safety Resource Center; Providing Health and Safety Training and Information to Young Workers and their Employers', 'Health and Safety for All: Training and Services for Hard to Reach Workers in Small Business', 'The National Young Worker Safety Resource Center:  Providing Health and Safety Training and Information to Young Workers and Their Employers', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'Worker Health and Safety Training Cooperative Agreement', 'Worker Health and Safety Training Cooperative Agreement', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'California School Action Safety and Health Program (SASH)', 'Domestic Worker Safety and Dignity Project', 'Worker Health and Safety Training Cooperative Agreement', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'Worker Health and Safety Training Cooperative Agreement', 'California Partnership for Young Worker Health and Safety', 'California Partnership for Young Worker Health and Safety', 'California Worker Training program (WOSHTEP)', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'California Worker Training program (WOSHTEP)', 'Occupational Safety and Health Training for Workers with Disabilities', 'Worker Health and Safety Training Cooperative Agreement', 'Health and Safety Issues of Workers with Developmental Disabilities', 'California Worker Training Program (WOSHTEP)', 'Health and Safety Issues of Workers with Developmental Disabilities', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'California School Action Safety & Health (SASH) Program', 'The National Young Worker Safety Resource Center; Providing Health and Safety Training and Information to Young Workers and their Employers', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'The National Young Worker Safety Resource Center:  Providing Health and Safety Training and Information to Young Workers and Their Employers']","[2008, 2007, 2010, 2008, 2009, 2010, 2007, 2007, 2007, 2010, 2010, 2009, 2010, 2008, 2009, 2009, 2010, 2008, 2007, 2007, 2007, 2007, 2008, 2009, 2009, 2008, 2009, 2007, 2008, 2009, 2007, 2007]"
"Bale, Stuart","['SSL Space Sciences Lab', 'SSL Space Sciences Lab']","['CSU Star Program', 'CSU Star Program']","[2013, 2013]"
