Dept/Division,Grant Amount,Applied Research,Basic Research,Training,Instruction,Services,Other,Total
ERSO Engineering Research Support Organization,"$1,024,039,099",282,5242,26,8,6,521,6085
SSL Space Sciences Lab,"$551,464,465",108,1769,2,0,110,122,2111
MCB Molecular & Cell Biology,"$438,743,186",24,2748,62,0,1,44,2879
The California Institute for Quantitative Biosciences (QB3),"$371,026,612",60,1782,22,13,0,316,2193
Vice Chancellor for Research ORUs,"$350,100,000",0,27,0,0,0,0,27
Social Welfare,"$321,827,582",2,125,13,68,5,40,253
"Dean's Office, Public Health","$249,912,382",238,505,175,5,64,58,1045
Chemistry Department,"$243,057,863",16,1313,42,4,7,1060,2442
Physics,"$232,763,865",7,993,9,0,1,370,1380
Graduate Division Dean,"$217,414,180",1,51,16,1,0,200,269
Public Health,"$196,109,064",348,773,199,4,39,88,1451
Plant & Microbial Biology Department,"$136,152,887",21,816,12,0,0,55,904
ITS Institute of Transportation Studies,"$127,144,717",502,339,10,1,19,39,910
CIEE California Institute for Energy & Environment,"$110,522,929",24,13,0,0,0,327,364
SPH Divisional Rsrch and Cntrs,"$108,646,859",72,174,41,1,4,5,297
Helen Wills Neuroscience Institute,"$108,288,236",6,653,49,0,0,10,718
EECS Electrical Engineering & Computer Sciences,"$106,408,166",15,395,8,13,2,27,460
"Environmental Science, Policy & Management","$104,572,550",451,1040,7,0,5,68,1571
Dept of Social Welfare,"$92,185,402",7,29,4,8,3,7,58
IBER Institute of Business & Economic Research,"$74,214,837",18,488,6,0,0,5,517
Graduate Education,"$67,989,039",22,160,16,14,97,12,321
LHS Lawrence Hall of Science,"$63,799,373",49,5,0,0,284,19,357
Earth & Planetary Science,"$59,968,275",2,467,0,1,6,219,695
IB Integrative Biology,"$58,543,200",16,490,25,4,0,41,576
Chemical and Biomolecular Engineering,"$55,665,709",13,375,1,0,0,262,651
Optometry,"$53,838,600",12,187,8,0,0,5,212
DUSEL Deep Underground Science & Engineering Laboratory,"$45,973,916",0,21,0,0,0,3,24
CNR Office of the Dean,"$45,605,096",175,106,2,4,15,20,322
Nutritional Science & Toxicology,"$45,447,071",27,359,16,0,0,1,403
Optometry Department,"$44,803,439",51,231,22,0,0,2,306
Berkeley Seismological Laboratory,"$40,082,380",1,309,1,0,5,32,348
Astronomy,"$38,549,147",0,440,1,1,0,7,449
UC Transportation Center,"$38,183,120",8,113,0,0,0,3,124
CEDR Center for Environmental Design Research,"$35,557,919",92,185,0,0,0,38,315
Civil & Environmental Engineering,"$35,029,663",36,144,4,0,0,11,195
Psychology,"$33,202,040",13,202,21,0,0,1,237
Education,"$32,908,564",95,116,31,10,34,17,303
Simons Institute for the Theory of Computing,"$32,250,932",0,20,0,0,0,0,20
Center for Educational Partnerships,"$31,025,935",5,1,11,3,99,2,121
Center for African Studies,"$30,780,799",0,1,0,5,0,5,11
RAL Radio Astronomy Laboratory,"$28,762,736",3,138,0,5,8,4,158
Mathematics,"$28,624,209",0,157,3,0,17,22,199
IPSR Institute for Personality & Social Research,"$26,106,395",3,105,14,0,4,2,128
University Library,"$25,129,886",8,18,0,0,25,74,125
Graduate Division,"$24,564,101",0,24,20,1,0,85,130
CPAM Center for Pure & Applied Mathematics,"$23,782,828",0,182,2,0,0,18,202
IRLE Institute for Research on Labor and Employment,"$23,663,059",41,239,9,0,15,28,332
Mechanical Engineering,"$23,554,177",5,163,4,0,0,44,216
Statistics,"$23,341,715",10,202,0,6,0,6,224
RAC Research Administration & Compliance,"$23,083,740",0,2,0,0,0,80,82
VCR Immediate Office,"$23,008,134",0,1,3,0,0,16,20
iSchool Information,"$20,771,805",0,39,0,2,0,0,41
Chemistry,"$19,991,133",7,114,6,0,0,28,155
Boalt Law School,"$18,033,948",44,121,7,11,13,25,221
IURD Institute of Urban & Regional Development,"$17,768,281",26,225,6,4,0,37,298
Nuclear Engineering,"$17,735,081",2,104,1,0,0,10,117
Data Science Institute,"$16,387,547",0,6,0,0,0,2,8
Center of Evaluation for Global Action,"$16,003,577",4,99,8,0,2,2,115
CNR Natural Resources,"$15,875,088",169,43,5,7,6,12,242
Cancer Research Laboratory,"$15,274,475",0,83,12,0,0,0,95
BNNI Berkeley Nanoscience & Nanoengineering Institute,"$14,212,886",0,29,8,0,0,8,45
Energy & Resources Group,"$13,938,076",35,128,0,0,0,26,189
"Dean, Physical Sciences","$13,925,872",6,6,4,1,0,14,31
IEAS Institute of East Asian Studies,"$13,872,657",8,35,3,11,3,43,103
IHD Institute of Human Development,"$13,334,358",6,141,17,0,1,4,169
Vice Chancellor - Real Estate,"$13,000,000",1,0,0,0,0,2,3
University/Jepson Herbaria,"$11,295,550",2,86,2,0,20,9,119
MVZ Museum of Vertebrate Zoology,"$10,471,717",4,114,0,4,0,14,136
Law,"$10,362,619",31,71,0,1,11,24,138
Haas Centers and Institutes,"$10,092,656",19,5,3,3,2,3,35
