Dept/Division,Grant Amount,Federal,State of California,Non Profit,University of California,Other
ERSO Engineering Research Support Organization,"$1,024,039,099 ",3808,192,614,344,1127
SSL Space Sciences Lab,"$551,464,465 ",1969,0,105,2,35
MCB Molecular & Cell Biology,"$438,743,186 ",1404,14,1262,44,155
The California Institute for Quantitative Biosciences (QB3),"$371,026,612 ",1388,25,476,41,263
Vice Chancellor for Research ORUs,"$350,100,000 ",0,0,6,0,21
Social Welfare,"$321,827,582 ",33,52,152,6,10
"Dean's Office, Public Health","$249,912,382 ",606,167,218,16,38
Chemistry Department,"$243,057,863 ",1956,16,270,24,176
Physics,"$232,763,865 ",1136,0,165,28,51
Graduate Division Dean,"$217,414,180 ",135,0,134,0,0
Public Health,"$196,109,064 ",848,125,366,52,60
Plant & Microbial Biology Department,"$136,152,887 ",616,24,192,21,51
ITS Institute of Transportation Studies,"$127,144,717 ",213,556,40,3,98
CIEE California Institute for Energy & Environment,"$110,522,929 ",32,287,4,0,41
SPH Divisional Rsrch and Cntrs,"$108,646,859 ",159,32,88,11,7
Helen Wills Neuroscience Institute,"$108,288,236 ",553,0,131,5,29
EECS Electrical Engineering & Computer Sciences,"$106,408,166 ",290,0,61,3,106
"Environmental Science, Policy & Management","$104,572,550 ",880,174,382,48,87
Dept of Social Welfare,"$92,185,402 ",14,13,30,0,1
IBER Institute of Business & Economic Research,"$74,214,837 ",342,4,150,6,15
Graduate Education,"$67,989,039 ",90,79,125,16,11
LHS Lawrence Hall of Science,"$63,799,373 ",232,17,79,19,10
Earth & Planetary Science,"$59,968,275 ",634,12,18,14,17
IB Integrative Biology,"$58,543,200 ",377,23,137,19,20
Chemical and Biomolecular Engineering,"$55,665,709 ",452,0,75,19,105
Optometry,"$53,838,600 ",133,0,43,2,34
DUSEL Deep Underground Science & Engineering Laboratory,"$45,973,916 ",13,0,11,0,0
CNR Office of the Dean,"$45,605,096 ",131,47,123,3,18
Nutritional Science & Toxicology,"$45,447,071 ",210,3,134,26,30
Optometry Department,"$44,803,439 ",230,0,37,4,35
Berkeley Seismological Laboratory,"$40,082,380 ",292,10,20,7,19
Astronomy,"$38,549,147 ",432,0,13,4,0
UC Transportation Center,"$38,183,120 ",13,99,5,0,7
CEDR Center for Environmental Design Research,"$35,557,919 ",85,59,19,6,146
