Name,Interests,Department
Alice M. Agogino,New product development~computer-aided design &amp; databases~theory &amp; methods~intelligent learning systems~information retrieval &amp; data mining~digital libraries~multiobjective &amp; strategic product~nonlinear optimization~probabilistic modeling~supervisory,Department of Mechanical Engineering~Haas School of Business
Alistair Sinclair,algorithms~applied probability~statistics~random walks~Markov chains~computational applications of randomness~Markov chain Monte Carlo~statistical physics~combinatorial optimization,Department of Statistics~Division of Electrical Engineering/EECS
Andrew F. Stewart,archaeology~classics~Greek sculpture~ancient art and architecture~the Hellenistic east after Alexander~the Renaissance reception of antiquity,Department of Classics~Department of History of Art
Anne Nesbet,culture~film studies~Slavic languages~early Soviet culture~Sergei Eisenstein~silent film~Soviet film~GDR history~children&#039;s literature &amp; Stalinism~the Soviet Union~American minority movements,Department of Film and Media~Department of Italian Studies
Anne-lise Francois,popular culture~English~comparative literature~the modern period~comparative romanticisms; lyric poetry; the psychological novel~novel of manners; gender~critical theory; literature~philosophy; fashion,Department of English~Department of French
Anthony J. Cascardi,English~comparative literature~literature~Spanish~Portuguese~philosophy~aesthetics~early modern literature~French~Spanish Baroque,Department of Comparative Literature~Department of Spanish and Portuguese
Anton Kaes,film studies~modern literature~literary and cultural theory~cinema~interdisciplinary and comparative aspects of Weimar culture~contemporary literature and film~literary theory~theory of cultural studies~film history~film theory~history of cinema,Department of Film and Media~Department of German
Aram Thomasian,statistics~electrical engineering~computer science random potential surfaces~multiple electorde,Department of Statistics~Division of Electrical Engineering/EECS
Barbara Spackman,feminist theory~psychoanalysis~culture~fascism~gender studies~comparative literature~Italian studies~narrative~European decadence~travel writing,Department of Comparative Literature~Department of Italian Studies
Barrie Thorne,feminist theory~gender theory~ethnography~qualitative methods~sociology~women~sociology of gender~sociology of age relations,Department of Gender and Women&#039;s Studies~Department of Sociology
Barry Eichengreen,Europe~China~economic growth~international economics~international finance~international monetary economics~economic history,Department of Economics~Department of Political Science
Benjamin Hermalin,contract theory~corporate governance~executive compensation~economics of leadership and organization~competitive strategy~industrial organization,Department of Economics~Haas School of Business
Bernd Sturmfels,mathematics~combinatorics~computational algebraic geometry,Department of Mathematics~Department of Statistics~Division of Computer Science/EECS
Boris Rubinsky,medical imaging~biotechnology~biomedical engineering~low temperature biology~micro and nano bionic technologies~electrical impedance tomography~bio-electronics~biomedical devices biomedical numerical analysis~bio-heat and mass transfer~electroporation light imaging,Department of Bioengineering~Department of Mechanical Engineering
